Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,Price Range
930,220,47,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.543138,-46.479486,low
1000,148,45,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.550239,-46.480718,low
1000,100,48,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.542818,-46.485665,low
1000,200,48,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.547171,-46.483014,low
1300,410,55,2,2,1,1,1,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.525025,-46.482436,low
1170,0,50,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.548751,-46.477195,low
1000,180,52,1,2,1,1,1,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.54984,-46.484137,low
900,150,40,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.53974,-46.49267,low
1000,0,65,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.548751,-46.477195,low
1000,0,100,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.548751,-46.477195,low
760,160,38,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.55185,-46.491169,low
800,150,48,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.545761,-46.479509,low
900,130,56,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.552073,-46.483411,low
1000,200,56,2,2,1,1,0,0,0,0,Artur Alvim/Sao Paulo,rent,apartment,-23.541366,-46.483726,low
1800,418,54,2,2,1,1,1,0,1,0,Belem/Sao Paulo,rent,apartment,-23.543955,-46.586619,low
1600,416,45,2,2,1,1,0,0,0,0,Belem/Sao Paulo,rent,apartment,-23.544698,-46.602114,low
1500,337,55,2,2,1,1,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.546104,-46.594579,low
1600,306,43,2,2,1,1,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.534606,-46.595084,low
1600,150,80,2,2,1,1,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.53962,-46.596337,low
1600,420,46,2,2,1,1,0,0,0,0,Belem/Sao Paulo,rent,apartment,-23.544698,-46.602114,low
1900,800,67,3,2,1,1,1,1,0,0,Belem/Sao Paulo,rent,apartment,-23.53838,-46.589441,medium
2500,720,68,3,2,1,1,0,0,1,0,Belem/Sao Paulo,rent,apartment,-23.538163,-46.591505,medium
1400,743,63,2,2,1,1,0,0,1,0,Belem/Sao Paulo,rent,apartment,-23.540023,-46.586898,low
1800,530,59,3,2,1,1,0,0,0,0,Belem/Sao Paulo,rent,apartment,-23.544698,-46.602114,low
1500,2893,230,3,2,1,2,0,0,0,0,Belem/Sao Paulo,rent,apartment,-23.540212,-46.585702,low
2300,857,113,3,2,1,2,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.538134,-46.594059,medium
2250,530,68,2,2,1,1,0,0,1,0,Belem/Sao Paulo,rent,apartment,-23.538163,-46.591505,medium
1700,445,65,2,2,1,1,0,0,1,0,Belem/Sao Paulo,rent,apartment,-23.532871,-46.601244,low
1726,290,55,2,2,1,1,1,0,1,0,Belem/Sao Paulo,rent,apartment,-23.534606,-46.595084,low
1700,450,50,1,2,1,1,1,0,1,0,Belem/Sao Paulo,rent,apartment,-23.546089,-46.590325,low
1600,300,48,2,2,1,1,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.546104,-46.594579,low
810,140,36,1,2,1,1,0,0,0,0,Belem/Sao Paulo,rent,apartment,-23.538794,-46.605664,low
3000,811,107,3,3,1,2,1,0,1,0,Belem/Sao Paulo,rent,apartment,-23.538767,-46.594706,medium
6000,800,150,3,4,3,2,1,1,0,0,Belem/Sao Paulo,rent,apartment,-23.550987,-46.590908,medium
1750,760,60,3,2,1,1,0,0,0,0,Belem/Sao Paulo,rent,apartment,-23.53838,-46.589441,low
2500,857,113,3,2,1,2,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.538134,-46.594059,medium
3800,1450,155,3,4,3,3,1,1,0,0,Belem/Sao Paulo,rent,apartment,-23.540085,-46.593312,medium
1600,300,66,2,2,1,1,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.537299,-46.583385,low
990,692,57,2,2,1,1,0,0,0,0,Belem/Sao Paulo,rent,apartment,-23.530025,-46.600427,low
1850,500,57,2,2,1,2,0,0,1,0,Belem/Sao Paulo,rent,apartment,-23.543955,-46.586619,low
1950,377,55,2,2,1,1,1,1,0,0,Belem/Sao Paulo,rent,apartment,-23.535523,-46.593554,medium
1099,400,85,2,2,1,1,0,0,0,0,Belem/Sao Paulo,rent,apartment,-23.536996,-46.591994,low
2300,907,114,4,3,2,2,0,0,1,0,Belem/Sao Paulo,rent,apartment,-23.538904,-46.589456,medium
1500,275,80,3,2,1,1,0,0,0,0,Belem/Sao Paulo,rent,apartment,-23.53718,-46.593103,low
1300,289,44,2,2,1,1,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.559264,-46.575407,low
1900,374,55,2,2,1,1,1,1,0,0,Belem/Sao Paulo,rent,apartment,-23.536768,-46.593884,medium
1350,500,51,2,2,1,1,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.538535,-46.595799,low
2500,857,115,3,2,1,2,1,0,1,0,Belem/Sao Paulo,rent,apartment,-23.538282,-46.593159,medium
2500,750,73,3,2,1,1,1,0,0,0,Belem/Sao Paulo,rent,apartment,-23.537348,-46.588941,medium
1200,0,48,2,2,1,1,0,0,0,0,Cangaiba/Sao Paulo,rent,apartment,-23.502336,-46.523243,low
1450,0,65,2,2,1,1,1,0,0,0,Cangaiba/Sao Paulo,rent,apartment,-23.506197,-46.522358,low
